class_id,raw_value,class_name,precision,recall,f1,iou
0,0,Black Background,0.0,0.0,0.0,0.0
1,5,Abdominal Wall,0.0,0.0,0.0,0.0
2,11,Liver,0.8896078773412264,0.967616377802878,0.9269738373475687,0.8638874604503239
3,12,Gastrointestinal Tract,0.923830693113418,0.9691522405629686,0.9459489205886582,0.8974412611945835
4,13,Fat,0.0,0.0,0.0,0.0
5,21,Grasper,0.9497556607896841,0.9395980570134467,0.9446495490848557,0.8951050883059338
6,22,Connective Tissue,0.8746388556288307,0.8438708784662132,0.8589794290969868,0.7528167850457405
7,23,Blood,0.0,0.0,0.0,0.0
8,24,Cystic Duct,0.0,0.0,0.0,0.0
9,25,L-hook Electrocautery,0.0,0.0,0.0,0.0
10,31,Gallbladder,0.8973536978012171,0.5304119718377197,0.6667300539217033,0.5000713193061803
11,32,Hepatic Vein,0.0,0.0,0.0,0.0
12,33,Liver Ligament,0.0,0.0,0.0,0.0
13,50,Extra Label (raw 50),0.9862815826747454,0.9986620917761527,0.9924332223125305,0.9849801067427428
