class_id,class_name,TP,FP,FN,TN
0,Black Background,0,0,0,97597858
1,Abdominal Wall,0,0,0,97597858
2,Liver,12428177,1531002,396529,83242150
3,Gastrointestinal Tract,22643397,1856258,657762,72440441
4,Fat,0,85831,0,97512027
5,Grasper,36157028,1893790,1986201,57560839
6,Connective Tissue,15294612,2191756,2819221,77292269
7,Blood,0,315592,0,97282266
8,Cystic Duct,0,4184,0,97593674
9,L-hook Electrocautery,0,0,0,97597858
10,Gallbladder,2773137,315780,2441794,92067147
11,Hepatic Vein,0,107314,0,97490544
12,Liver Ligament,0,0,0,97597858
